ts_close_utc,version,symbol,ticket,direction,lot,entry,close,sl_distance,risk_money,risk_reconstructed,profit_gross,commission,swap,net,r_multiple,reason,duration_min,ts_open_utc
2026-07-30T16:02:02+00:00,v0.3.0,GBPJPY_SB,81648239,BUY,0.1,214.509,214.729,0.10991628584202014,1.1,False,2.2,0.0,0.0,2.2,2.0,TP,10.0,2026-07-30T15:52:02.683305+00:00
2026-07-30T16:32:39+00:00,v0.3.0,GBPJPY_SB,81650492,SELL,1.1,214.688,214.783,0.09451688136106787,10.4,False,-10.45,0.0,0.0,-10.45,-1.0048,SL,28.6,2026-07-30T16:04:00.202713+00:00
2026-07-30T17:02:08+00:00,v0.3.0,GBPJPY_SB,81654725,BUY,0.1,214.787,214.934,0.07362909296083804,0.74,False,1.47,0.0,0.0,1.47,1.9865,TP,27.0,2026-07-30T16:35:05.048296+00:00
2026-07-30T17:21:58+00:00,v0.3.0,GBPJPY_SB,81659120,BUY,1.8,214.959,215.059,0.050147521968023294,9.03,False,18.0,0.0,0.0,18.0,1.9934,TP,10.9,2026-07-30T17:11:02.349839+00:00
2026-07-30T17:31:04+00:00,v0.3.0,GBPJPY_SB,81660425,SELL,0.1,215.119,215.02200000000002,0.04829153847404015,0.48,False,0.97,0.0,0.0,0.97,2.0208,TP,6.1,2026-07-30T17:25:00.836711+00:00
2026-07-30T17:36:16+00:00,v0.3.0,GBPJPY_SB,81661304,BUY,1.9,215.028,214.981,0.046579908540295666,8.85,False,-8.93,0.0,0.0,-8.93,-1.009,SL,3.3,2026-07-30T17:33:00.885358+00:00
2026-07-30T18:09:41+00:00,v0.3.0,GBPJPY_SB,81665595,BUY,2.3,214.279,214.081,0.19802125274623916,45.54,False,-45.54,0.0,0.0,-45.54,-1.0,SL,8.6,2026-07-30T18:01:03.543546+00:00
2026-07-30T18:59:57+00:00,v0.3.0,GBPJPY_SB,81667488,BUY,0.1,214.248,214.124,0.11944938113731086,1.19,False,-1.24,0.0,0.0,-1.24,-1.042,SL,37.9,2026-07-30T18:22:01.697619+00:00
2026-07-30T19:27:36+00:00,v0.3.0,GBPJPY_SB,81671673,BUY,0.6,214.43,214.57800000000003,0.07284893392595863,4.37,False,8.88,0.0,0.0,8.88,2.032,TP,18.6,2026-07-30T19:09:00.566632+00:00
2026-07-30T19:55:09+00:00,v0.3.0,GBPJPY_SB,81674386,BUY,0.7,214.653,214.593,0.06008603457812503,4.21,False,-4.2,0.0,0.0,-4.2,-0.9976,SL,24.1,2026-07-30T19:31:04.071483+00:00
2026-07-30T20:15:17+00:00,v0.3.0,GBPJPY_SB,81678028,SELL,0.1,214.69,214.746,0.05600366770593876,0.56,False,-0.56,0.0,0.0,-0.56,-1.0,SL,8.3,2026-07-30T20:07:01.144518+00:00
2026-07-30T21:05:43+00:00,v0.3.0,GBPJPY_SB,81679657,BUY,0.6,214.823,214.767,0.055773163536647435,3.35,False,-3.36,0.0,0.08,-3.28,-0.9791,SL,30.7,2026-07-30T20:35:02.694437+00:00
2026-08-11T01:50:26+00:00,v0.3.0,GBPJPY_SB,83341065,BUY,1.6,214.913,215.027,0.05681817804267769,9.09,False,18.24,0.0,0.0,18.24,2.0066,TP,66.4,2026-08-11T00:44:01.739975+00:00
2026-08-11T06:38:05+00:00,v0.3.0,GBPJPY_SB,83383128,SELL,1.8,215.036,215.068,0.032131167291351626,5.78,False,-5.76,0.0,0.0,-5.76,-0.9965,SL,6.0,2026-08-11T06:32:02.220440+00:00
2026-08-11T07:33:55+00:00,v0.3.0,GBPJPY_SB,83393685,SELL,1.6,215.039,215.07800000000003,0.03856706217340167,6.17,False,-6.24,0.0,0.0,-6.24,-1.0113,SL,6.9,2026-08-11T07:27:01.374960+00:00
2026-08-11T07:36:06+00:00,v0.3.0,GBPJPY_SB,83394884,BUY,1.4,215.077,215.038,0.039208844608655244,5.49,False,-5.46,0.0,0.0,-5.46,-0.9945,SL,2.1,2026-08-11T07:34:01.335597+00:00
2026-08-11T08:35:31+00:00,v0.3.0,GBPJPY_SB,83399324,BUY,1.8,215.063,215.14,0.03846306298662864,6.92,False,13.86,0.0,0.0,13.86,2.0029,TP,30.5,2026-08-11T08:05:02.836215+00:00
2026-08-11T11:53:20+00:00,v0.3.0,GBPJPY_SB,83431612,SELL,0.2,214.886,214.92400000000004,0.03815948492533384,0.76,False,-0.76,0.0,0.0,-0.76,-1.0,SL,16.3,2026-08-11T11:37:02.022611+00:00
2026-08-11T12:00:15+00:00,v0.3.0,GBPJPY_SB,83434566,SELL,1.4,214.879,214.913,0.033614398018358735,4.71,False,-4.76,0.0,0.0,-4.76,-1.0106,SL,6.2,2026-08-11T11:54:03.812969+00:00
2026-08-11T12:07:22+00:00,v0.3.0,GBPJPY_SB,83436178,SELL,0.4,214.907,214.93700000000004,0.030350355182524193,1.21,False,-1.2,0.0,0.0,-1.2,-0.9917,SL,3.3,2026-08-11T12:04:01.015906+00:00
2026-08-11T12:12:31+00:00,v0.3.0,GBPJPY_SB,83438055,BUY,0.1,214.944,214.91,0.034059497035641075,0.34,False,-0.34,0.0,0.0,-0.34,-1.0,SL,0.5,2026-08-11T12:12:01.511697+00:00
2026-08-11T12:23:11+00:00,v0.3.0,GBPJPY_SB,83438403,BUY,0.7,214.962,215.03099999999998,0.034441607145169376,2.41,False,4.83,0.0,0.0,4.83,2.0041,TP,9.1,2026-08-11T12:14:02.934147+00:00
2026-08-11T12:24:28+00:00,v0.3.0,GBPJPY_SB,83441022,SELL,7.6,215.008,215.043,0.03508474800715529,26.66,False,-26.6,0.0,0.0,-26.6,-0.9977,SL,0.5,2026-08-11T12:24:00.283449+00:00
2026-08-11T13:36:06+00:00,v0.3.0,GBPJPY_SB,83450884,SELL,0.6,214.949,214.987,0.03777032145924927,2.27,False,-2.28,0.0,0.0,-2.28,-1.0044,SL,23.0,2026-08-11T13:13:04.788246+00:00
2026-08-11T13:40:03+00:00,v0.3.0,GBPJPY_SB,83458284,SELL,7.4,214.996,215.026,0.03049774033699159,22.57,False,-22.2,0.0,0.0,-22.2,-0.9836,SL,1.0,2026-08-11T13:39:04.696438+00:00
2026-08-11T14:05:19+00:00,v0.3.0,GBPJPY_SB,83463188,SELL,0.4,215.016,215.053,0.03651672385438935,1.46,False,-1.48,0.0,0.0,-1.48,-1.0137,SL,14.3,2026-08-11T13:51:03.970044+00:00
2026-08-11T14:16:55+00:00,v0.3.0,GBPJPY_SB,83471124,SELL,1.8,215.033,215.07099999999997,0.03766944001498705,6.78,False,-6.84,0.0,0.0,-6.84,-1.0088,SL,8.9,2026-08-11T14:08:02.201150+00:00
2026-08-11T15:59:59+00:00,v0.3.0,GBPJPY_SB,83493726,BUY,7.3,215.158,215.21399999999997,0.02815433019795784,20.55,False,40.88,0.0,0.0,40.88,1.9893,TP,4.9,2026-08-11T15:55:04.939702+00:00
2026-08-12T09:12:21+00:00,v0.3.0,GBPJPY_SB,83586150,BUY,0.6,215.323,215.292,0.031264078651461365,1.88,False,-1.86,0.0,0.0,-1.86,-0.9894,SL,0.3,2026-08-12T09:12:05.387488+00:00
2026-08-12T09:21:47+00:00,v0.3.0,GBPJPY_SB,83588567,BUY,0.3,215.282,215.244,0.03833668498119857,1.15,False,-1.14,0.0,0.0,-1.14,-0.9913,SL,1.8,2026-08-12T09:20:00.597280+00:00
2026-08-12T09:42:12+00:00,v0.3.0,GBPJPY_SB,83592852,BUY,0.9,215.039,214.937,0.10153800704706445,9.14,False,-9.18,0.0,0.0,-9.18,-1.0044,SL,9.1,2026-08-12T09:33:05.016244+00:00
2026-08-12T10:41:26+00:00,v0.3.0,GBPJPY_SB,83595946,BUY,0.2,215.198,215.145,0.052591861163921644,1.05,False,-1.06,0.0,0.0,-1.06,-1.0095,SL,33.4,2026-08-12T10:08:03.651663+00:00
