ts_close_utc,version,symbol,ticket,direction,lot,entry,close,sl_distance,risk_money,risk_reconstructed,profit_gross,commission,swap,net,r_multiple,reason,duration_min,ts_open_utc
2026-07-30T15:42:19+00:00,v0.3.0,GBPUSD_SB,81646190,SELL,0.1,1.34516,1.34562,0.0004595329984169263,0.46,False,-0.46,0.0,0.0,-0.46,-1.0,SL,3.2,2026-07-30T15:39:04.311016+00:00
2026-07-30T15:56:51+00:00,v0.3.0,GBPUSD_SB,81648077,SELL,4.7,1.34584,1.34625,0.00041190154642809266,19.36,False,-19.27,0.0,0.0,-19.27,-0.9954,SL,5.8,2026-07-30T15:51:01.957678+00:00
2026-07-30T16:01:22+00:00,v0.3.0,GBPUSD_SB,81649063,SELL,1.1,1.34601,1.34642,0.0004112175312089479,4.52,False,-4.51,0.0,0.0,-4.51,-0.9978,SL,3.3,2026-07-30T15:58:01.379491+00:00
2026-07-30T16:17:52+00:00,v0.3.0,GBPUSD_SB,81650960,SELL,6.7,1.34647,1.34688,0.00041349167653663,27.7,False,-27.47,0.0,0.0,-27.47,-0.9917,SL,12.9,2026-07-30T16:05:00.848422+00:00
2026-07-30T16:53:34+00:00,v0.3.0,GBPUSD_SB,81652804,SELL,6.0,1.34671,1.34589,0.00041139195629282877,24.68,False,49.2,0.0,0.0,49.2,1.9935,TP,34.5,2026-07-30T16:19:04.952820+00:00
2026-07-30T17:00:06+00:00,v0.3.0,GBPUSD_SB,81657280,BUY,0.6,1.34593,1.34647,0.0002687635881515611,1.61,False,3.24,0.0,0.0,3.24,2.0124,TP,5.1,2026-07-30T16:55:02.392864+00:00
2026-07-30T17:10:35+00:00,v0.3.0,GBPUSD_SB,81658704,SELL,0.3,1.3462100000000001,1.3464800000000001,0.00028437554597112135,0.85,False,-0.81,0.0,0.0,-0.81,-0.9529,SL,5.5,2026-07-30T17:05:03.584605+00:00
2026-07-30T17:14:44+00:00,v0.3.0,GBPUSD_SB,81659391,BUY,0.7,1.34633,1.34606,0.000271604847888618,1.9,False,-1.89,0.0,0.0,-1.89,-0.9947,SL,1.7,2026-07-30T17:13:03.464759+00:00
2026-07-30T17:21:42+00:00,v0.3.0,GBPUSD_SB,81660097,BUY,0.5,1.3461699999999999,1.3458999999999999,0.0002655050128222497,1.33,False,-1.35,0.0,0.0,-1.35,-1.015,SL,1.7,2026-07-30T17:20:02.759677+00:00
2026-07-30T17:25:02+00:00,v0.3.0,GBPUSD_SB,81660277,BUY,4.4,1.3462,1.34595,0.0002508052162048103,11.04,False,-11.0,0.0,0.0,-11.0,-0.9964,SL,2.0,2026-07-30T17:23:04.571691+00:00
2026-07-30T17:32:04+00:00,v0.3.0,GBPUSD_SB,81661195,BUY,3.6,1.34599,1.34576,0.00023174256211396058,8.34,False,-8.28,0.0,0.0,-8.28,-0.9928,SL,1.0,2026-07-30T17:31:04.609937+00:00
2026-07-30T17:36:19+00:00,v0.3.0,GBPUSD_SB,81661482,SELL,1.1,1.34569,1.34591,0.00022375336621795308,2.46,False,-2.42,0.0,0.0,-2.42,-0.9837,SL,1.3,2026-07-30T17:35:02.043209+00:00
2026-07-30T17:39:05+00:00,v0.3.0,GBPUSD_SB,81662101,SELL,0.8,1.34622,1.34656,0.00033756237095108996,2.7,False,-2.72,0.0,0.0,-2.72,-1.0074,SL,1.0,2026-07-30T17:38:03.992374+00:00
2026-07-30T17:42:37+00:00,v0.3.0,GBPUSD_SB,81662586,BUY,1.0,1.3467,1.34633,0.00036544918709609085,3.65,False,-3.7,0.0,0.0,-3.7,-1.0137,SL,2.6,2026-07-30T17:40:00.276306+00:00
2026-07-30T17:51:58+00:00,v0.3.0,GBPUSD_SB,81664093,SELL,0.1,1.34676,1.3472,0.0004431429468454257,0.44,False,-0.44,0.0,0.0,-0.44,-1.0,SL,1.9,2026-07-30T17:50:01.649879+00:00
2026-07-30T18:07:12+00:00,v0.3.0,GBPUSD_SB,81664351,BUY,1.0,1.34724,1.34676,0.00045028652050628764,4.5,False,-4.8,0.0,0.0,-4.8,-1.0667,SL,15.2,2026-07-30T17:52:02.920392+00:00
2026-07-30T18:26:11+00:00,v0.3.0,GBPUSD_SB,81666121,BUY,0.7,1.3469,1.3465799999999999,0.00031749826664057473,2.22,False,-2.24,0.0,0.0,-2.24,-1.009,SL,18.1,2026-07-30T18:08:02.743437+00:00
2026-07-30T18:47:45+00:00,v0.3.0,GBPUSD_SB,81667891,BUY,1.1,1.34676,1.34724,0.00023970496481925173,2.64,False,5.28,0.0,0.0,5.28,2.0,TP,20.7,2026-07-30T18:27:04.601537+00:00
2026-07-30T19:06:34+00:00,v0.3.0,GBPUSD_SB,81671023,SELL,4.3,1.34748,1.3477000000000001,0.00021971073359651396,9.45,False,-9.46,0.0,0.0,-9.46,-1.0011,SL,3.5,2026-07-30T19:03:01.786138+00:00
2026-07-30T19:15:18+00:00,v0.3.0,GBPUSD_SB,81671672,SELL,5.5,1.34741,1.34698,0.00021590988891212316,11.88,False,23.65,0.0,0.0,23.65,1.9907,TP,6.3,2026-07-30T19:09:00.455939+00:00
2026-07-30T19:31:07+00:00,v0.3.0,GBPUSD_SB,81672802,BUY,0.1,1.34729,1.3470299999999997,0.000259307915251564,0.26,False,-0.26,0.0,0.0,-0.26,-1.0,SL,14.0,2026-07-30T19:17:05.608336+00:00
2026-07-30T20:04:42+00:00,v0.3.0,GBPUSD_SB,81676967,SELL,0.1,1.34696,1.3472,0.00023810184698588573,0.24,False,-0.24,0.0,0.0,-0.24,-1.0,SL,4.7,2026-07-30T20:00:01.582193+00:00
