ts_utc,version,symbol,pattern,direction,decision,blocked_by,close,atr,adx_h1,ker,spread_points,spread_atr_frac,ema_fast_h1,ema_slow_h1,regime,session_hour_utc
2026-07-29T22:42:04.184839+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.81387,8.01273070713173e-05,21.998588838224705,0.407407407407712,13,1.6224,0.8176093722011235,0.8180170668612623,BEAR,22
2026-07-30T15:39:04.381569+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,OPEN,,0.80592,0.0002380767637289112,31.50558743046065,0.4925373134328284,11,0.462,0.8136983575142216,0.8157538253120796,BEAR,15
2026-07-30T15:42:01.337717+00:00,v0.3.0,USDCHF_SB,FAKEY,SELL,BLOCKED,position_already_open,0.8057,0.00023802647590819023,31.50558743046065,0.7567567567566879,11,0.4621,0.8136983575142216,0.8157538253120796,BEAR,15
2026-07-30T15:46:03.903696+00:00,v0.3.0,USDCHF_SB,FAKEY,BUY,BLOCKED,position_already_open,0.80583,0.00021609886964397528,31.50558743046065,0.38636363636364784,11,0.509,0.8136983575142216,0.8157538253120796,BEAR,15
2026-07-30T15:47:04.556665+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,position_already_open,0.80555,0.00022209180755750052,31.50558743046065,0.4130434782609063,11,0.4953,0.8136983575142216,0.8157538253120796,BEAR,15
2026-07-30T15:49:00.708765+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,position_already_open,0.80558,0.00021563018102815765,31.50558743046065,0.32075471698112024,11,0.5101,0.8136983575142216,0.8157538253120796,BEAR,15
2026-07-30T15:51:02.026732+00:00,v0.3.0,USDCHF_SB,FAKEY,SELL,BLOCKED,position_already_open,0.80548,0.00020541581929620984,31.50558743046065,0.37662337662336914,11,0.5355,0.8136983575142216,0.8157538253120796,BEAR,15
2026-07-30T15:53:03.294364+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,position_already_open,0.80565,0.00020824119112683787,31.50558743046065,0.06930693069308672,10,0.4802,0.8136983575142216,0.8157538253120796,BEAR,15
2026-07-30T15:56:00.167468+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,position_already_open,0.8056,0.00021585491871611026,31.50558743046065,0.18699186991875788,11,0.5096,0.8136983575142216,0.8157538253120796,BEAR,15
2026-07-30T16:03:04.614750+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,position_already_open,0.80547,0.00021672473893945564,34.14590815866946,0.13235294117644777,11,0.5076,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T16:07:02.297544+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,position_already_open,0.80529,0.000218995607787927,34.14590815866946,0.05797101449280492,11,0.5023,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T16:08:02.895401+00:00,v0.3.0,USDCHF_SB,FAKEY,BUY,BLOCKED,position_already_open,0.80533,0.00021335306438403015,34.14590815866946,0.07352941176468428,12,0.5624,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T16:09:03.808615+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,position_already_open,0.8052,0.0002166849883780242,34.14590815866946,0.18620689655169667,11,0.5076,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T16:13:01.275606+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,OPEN,,0.80536,0.00022003149603675267,34.14590815866946,0.0738255033557417,11,0.4999,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T16:15:02.488803+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,OPEN,,0.80512,0.0002331394022051566,34.14590815866946,0.13924050632911036,11,0.4718,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T16:22:01.883092+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,position_already_open,0.8046,0.00021857583886236373,34.14590815866946,0.547826086956599,10,0.4575,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T16:28:05.618517+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,position_already_open,0.80459,0.00019876607350996625,34.14590815866946,0.4545454545454087,10,0.5031,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T16:39:02.543530+00:00,v0.3.0,USDCHF_SB,FAKEY,SELL,BLOCKED,position_already_open,0.80462,0.000175239641246988,34.14590815866946,0.10843373493980094,10,0.5706,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T16:40:03.183552+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80468,0.00016915109540535325,34.14590815866946,0.10843373493968168,11,0.6503,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T16:55:02.490513+00:00,v0.3.0,USDCHF_SB,SWEEP,SELL,BLOCKED,spread_too_wide,0.80516,0.00015526030097257174,34.14590815866946,0.04761904761909797,11,0.7085,0.8129337520366766,0.8153583808629558,BEAR,16
2026-07-30T17:03:02.449128+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80499,0.0001632073466109769,36.737093955083225,0.15463917525771073,13,0.7965,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:07:09.996755+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80519,0.0001550173111539567,36.737093955083225,0.22772277227719073,12,0.7741,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:09:01.053634+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80518,0.0001452955387210024,36.737093955083225,0.3695652173912991,11,0.7571,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:12:02.917710+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80527,0.00014040244123635583,36.737093955083225,0.6923076923076548,10,0.7122,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:19:07.336903+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.8055,0.00012755320566957735,36.737093955083225,0.47058823529416566,10,0.784,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:24:05.297275+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80553,0.00011743819984983641,36.737093955083225,0.24242424242419144,11,0.9367,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:26:01.499331+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80559,0.0001152400804597994,36.737093955083225,0.03448275862072926,11,0.9545,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:28:07.906507+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80555,0.00010972231427927454,36.737093955083225,0.19298245614030304,11,1.0025,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:30:04.056072+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.8056,0.00010715852615832938,36.737093955083225,0.2258064516130072,10,0.9332,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:32:05.342146+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80572,0.00011270301484467923,36.737093955083225,0.27536231884071494,12,1.0647,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:42:01.704955+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,OPEN,,0.80459,0.00022825056612922406,36.737093955083225,0.631284916201073,11,0.4819,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:47:04.866265+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,OPEN,,0.80444,0.00029072671996134157,36.737093955083225,0.2679245283019007,11,0.3784,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:50:01.740536+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,position_already_open,0.80474,0.00028015911215983436,36.737093955083225,0.06563706563707027,11,0.3926,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T17:54:04.209904+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,OPEN,,0.80436,0.00027831357773597227,36.737093955083225,0.24481327800833394,13,0.4671,0.8121495851760407,0.8149404098675698,BEAR,17
2026-07-30T18:00:02.926142+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,OPEN,,0.80443,0.0002464431329855435,39.19278777623137,0.21379310344830543,11,0.4464,0.8114143865878465,0.8145282315683798,BEAR,18
2026-07-30T18:08:02.837018+00:00,v0.3.0,USDCHF_SB,SWEEP,SELL,OPEN,,0.8046,0.00020700339372264532,39.19278777623137,0.05084745762706761,10,0.4831,0.8114143865878465,0.8145282315683798,BEAR,18
2026-07-30T18:28:05.433677+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.8046,0.0001611421264568833,39.19278777623137,0.2857142857141951,11,0.6826,0.8114143865878465,0.8145282315683798,BEAR,18
2026-07-30T18:36:00.181913+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80431,0.00014988811268151753,39.19278777623137,0.6491228070173046,11,0.7339,0.8114143865878465,0.8145282315683798,BEAR,18
2026-07-30T18:41:03.231126+00:00,v0.3.0,USDCHF_SB,SWEEP,SELL,BLOCKED,spread_too_wide,0.80459,0.00013911487226106283,39.19278777623137,0.20634920634931825,11,0.7907,0.8114143865878465,0.8145282315683798,BEAR,18
2026-07-30T18:43:04.465908+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80453,0.00013510414997033963,39.19278777623137,0.18644067796601238,12,0.8882,0.8114143865878465,0.8145282315683798,BEAR,18
2026-07-30T18:45:00.619022+00:00,v0.3.0,USDCHF_SB,FAKEY,SELL,BLOCKED,spread_too_wide,0.80455,0.00012756429260844465,39.19278777623137,0.25,11,0.8623,0.8114143865878465,0.8145282315683798,BEAR,18
2026-07-30T18:54:01.223333+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80425,0.00012188826535736458,39.19278777623137,0.4920634920634417,12,0.9845,0.8114143865878465,0.8145282315683798,BEAR,18
2026-07-30T19:07:04.338069+00:00,v0.3.0,USDCHF_SB,FAKEY,BUY,BLOCKED,spread_too_wide,0.80428,0.000134333050225887,41.509435047910664,0.2121212121212461,12,0.8933,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:09:00.523574+00:00,v0.3.0,USDCHF_SB,FAKEY,BUY,BLOCKED,spread_too_wide,0.80432,0.0001347565586178989,41.509435047910664,0.09677419354829467,12,0.8905,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:15:04.301896+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80472,0.0001464222243873807,41.509435047910664,0.6521739130434363,12,0.8195,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:17:00.481054+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80459,0.00015196610177926296,41.509435047910664,0.34831460674167397,10,0.658,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:21:02.991683+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80448,0.00013482413130587017,41.509435047910664,0.14583333333325382,11,0.8159,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:24:04.763820+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80449,0.0001272152391873138,41.509435047910664,0.11111111111104258,10,0.7861,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:25:05.460120+00:00,v0.3.0,USDCHF_SB,FAKEY,SELL,BLOCKED,spread_too_wide,0.80448,0.00012241415068107398,41.509435047910664,0.41379310344813064,10,0.8169,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:27:01.542547+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80449,0.00011662240547517647,41.509435047910664,0.2631578947366268,11,0.9432,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:33:00.163339+00:00,v0.3.0,USDCHF_SB,SWEEP,SELL,BLOCKED,spread_too_wide,0.8047,0.00011352280219538994,41.509435047910664,0.5294117647056262,12,1.0571,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:41:05.086039+00:00,v0.3.0,USDCHF_SB,FAKEY,SELL,BLOCKED,spread_too_wide,0.80469,0.0001063069866589385,41.509435047910664,0.09090909090902974,11,1.0347,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:42:05.748825+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80475,0.00010442791617616244,41.509435047910664,0.07692307692303313,12,1.1491,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T19:48:04.194420+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80462,8.603503402936931e-05,41.509435047910664,0.3142857142857868,12,1.3948,0.8107015878651942,0.8141126076847301,BEAR,19
2026-07-30T20:00:01.656249+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80463,0.00010432032288240087,43.57657878665441,0.10204081632652136,12,1.1503,0.8101233414018424,0.8137407366304485,BEAR,20
2026-07-30T20:15:00.870348+00:00,v0.3.0,USDCHF_SB,SWEEP,SELL,BLOCKED,spread_too_wide,0.80484,9.125220544136241e-05,43.57657878665441,0.5999999999997779,12,1.315,0.8101233414018424,0.8137407366304485,BEAR,20
2026-07-30T20:16:01.443583+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80493,9.187704786935682e-05,43.57657878665441,0.5675675675673729,12,1.3061,0.8101233414018424,0.8137407366304485,BEAR,20
2026-07-30T20:18:07.771520+00:00,v0.3.0,USDCHF_SB,FAKEY,BUY,BLOCKED,spread_too_wide,0.80488,8.605725047238744e-05,43.57657878665441,0.2972972972972811,12,1.3944,0.8101233414018424,0.8137407366304485,BEAR,20
2026-07-30T20:29:04.015211+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80498,7.918222747141767e-05,43.57657878665441,0.23529411764713565,12,1.5155,0.8101233414018424,0.8137407366304485,BEAR,20
2026-07-30T20:35:07.851808+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80505,9.155114980805834e-05,43.57657878665441,0.06666666666656798,13,1.42,0.8101233414018424,0.8137407366304485,BEAR,20
2026-07-30T20:40:00.747019+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80518,9.717694089862067e-05,43.57657878665441,0.29032258064511507,12,1.2349,0.8101233414018424,0.8137407366304485,BEAR,20
2026-07-30T20:46:04.248090+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80525,8.381687833762895e-05,43.57657878665441,0.25,12,1.4317,0.8101233414018424,0.8137407366304485,BEAR,20
2026-07-30T20:48:05.444527+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80527,8.181149201918083e-05,43.57657878665441,0.11111111111117965,13,1.589,0.8101233414018424,0.8137407366304485,BEAR,20
2026-07-30T20:53:03.328602+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80507,8.769557386580971e-05,43.57657878665441,0.36170212765960463,13,1.4824,0.8101233414018424,0.8137407366304485,BEAR,20
2026-07-30T21:21:22.488971+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80499,7.608537834620354e-05,44.99001671667819,0.6800000000000889,161,21.1604,0.809634451744524,0.8133975759151328,BEAR,21
2026-07-30T21:22:07.858563+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.80504,7.92221370262366e-05,44.99001671667819,0.4901960784314152,149,18.8079,0.809634451744524,0.8133975759151328,BEAR,21
2026-07-30T21:26:04.959931+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.80483,0.00014220464013978094,44.99001671667819,0.2033898305083837,123,8.6495,0.809634451744524,0.8133975759151328,BEAR,21
2026-07-30T21:27:10.514629+00:00,v0.3.0,USDCHF_SB,SWEEP,BUY,BLOCKED,spread_too_wide,0.80489,0.00014276145154408016,44.99001671667819,0.18333333333333487,123,8.6158,0.809634451744524,0.8133975759151328,BEAR,21
2026-08-10T22:32:00.824723+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.81017,5.729534080166488e-05,18.746517753245318,0.3333333333328399,13,2.2689,0.8092744359757893,0.8092467282678566,CHOP,22
2026-08-10T23:03:04.671019+00:00,v0.3.0,USDCHF_SB,FAKEY,SELL,BLOCKED,spread_too_wide,0.81003,3.892596311368054e-05,17.623826638227072,0.6363636363647374,13,3.3397,0.8093482992161903,0.809278233142503,CHOP,23
2026-08-10T23:18:03.338460+00:00,v0.3.0,USDCHF_SB,ENGULFING,SELL,BLOCKED,spread_too_wide,0.81009,3.4773742427641955e-05,17.623826638227072,0.13043478260861172,12,3.4509,0.8093482992161903,0.809278233142503,CHOP,23
2026-08-10T23:21:25.325936+00:00,v0.3.0,USDCHF_SB,FAKEY,BUY,BLOCKED,spread_too_wide,0.8101,3.116541989916955e-05,17.623826638227072,0.16666666666682087,13,4.1713,0.8093482992161903,0.809278233142503,CHOP,23
2026-08-10T23:23:01.205157+00:00,v0.3.0,USDCHF_SB,ENGULFING,BUY,BLOCKED,spread_too_wide,0.81008,3.238242835574233e-05,17.623826638227072,0.14285714285714285,13,4.0145,0.8093482992161903,0.809278233142503,CHOP,23
