ts_close_utc,version,symbol,ticket,direction,lot,entry,close,sl_distance,risk_money,risk_reconstructed,profit_gross,commission,swap,net,r_multiple,reason,duration_min,ts_open_utc
2026-07-30T16:09:38+00:00,v0.3.0,USDCHF_SB,81646191,SELL,0.1,0.80585,0.80514,0.0003571151455933668,0.36,False,0.71,0.0,0.0,0.71,1.9722,TP,30.6,2026-07-30T15:39:04.381569+00:00
2026-07-30T16:14:52+00:00,v0.3.0,USDCHF_SB,81652157,BUY,0.8,0.80551,0.80518,0.000330047244055129,2.64,False,-2.64,0.0,0.0,-2.64,-1.0,SL,1.8,2026-07-30T16:13:01.275606+00:00
2026-07-30T17:13:22+00:00,v0.3.0,USDCHF_SB,81652447,SELL,1.5,0.80512,0.80547,0.0003497091033077349,5.25,False,-5.25,0.0,0.0,-5.25,-1.0,SL,58.3,2026-07-30T16:15:02.488803+00:00
2026-07-30T17:50:14+00:00,v0.3.0,USDCHF_SB,81663862,SELL,0.1,0.80442,0.80486,0.00043609007994201235,0.44,False,-0.44,0.0,0.0,-0.44,-1.0,SL,3.2,2026-07-30T17:47:04.866265+00:00
2026-07-30T19:15:20+00:00,v0.3.0,USDCHF_SB,81666122,SELL,0.3,0.80463,0.80494,0.000310505090583968,0.93,False,-0.93,0.0,0.0,-0.93,-1.0,SL,67.3,2026-07-30T18:08:02.837018+00:00
2026-08-11T11:06:34+00:00,v0.3.0,USDCHF_SB,83426617,SELL,1.0,0.81013,0.8104,0.0002685827087620458,2.69,False,-2.7,0.0,0.0,-2.7,-1.0037,SL,0.6,2026-08-11T11:06:00.306363+00:00
2026-08-12T09:26:28+00:00,v0.3.0,USDCHF_SB,83591691,BUY,2.6,0.81192,0.81163,0.00028940474834784533,7.52,False,-7.54,0.0,0.0,-7.54,-1.0027,SL,0.4,2026-08-12T09:26:05.000157+00:00
2026-08-12T09:30:43+00:00,v0.3.0,USDCHF_SB,83592021,BUY,0.7,0.81194,0.81165,0.00029400205341573686,2.06,False,-2.03,0.0,0.0,-2.03,-0.9854,SL,2.7,2026-08-12T09:28:01.500682+00:00
2026-08-12T12:31:46+00:00,v0.3.0,USDCHF_SB,83612975,BUY,0.3,0.81216,0.81166,0.0004981695892375446,1.49,False,-1.5,0.0,0.0,-1.5,-1.0067,SL,0.8,2026-08-12T12:31:00.936070+00:00
2026-08-12T12:36:30+00:00,v0.3.0,USDCHF_SB,83615192,BUY,15.0,0.8112,0.81059,0.0006083161088814216,91.25,False,-91.5,0.0,0.0,-91.5,-1.0027,SL,1.4,2026-08-12T12:35:04.013540+00:00
