ts_utc,version,symbol,direction,lot,entry,sl,tp,sl_distance,risk_money,risk_actual,lot_capped,margin_required,margin_free,atr,adx_h1,ker,regime,session_hour_utc,pattern,retcode,order,broker_comment,comment
2026-07-30T15:39:04.311016+00:00,v0.3.0,GBPUSD_SB,SELL,0.1,1.34516,1.34562,1.34424,0.0004595329984169263,101.25,0.46,True,44.93,84.92,0.0003063553322779509,41.01800088322513,0.42268041237109627,BULL,15,ENGULFING,10009,81646190,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T15:51:01.957678+00:00,v0.3.0,GBPUSD_SB,SELL,4.7,1.34584,1.34625,1.34502,0.00041190154642809266,99.8,19.36,True,2112.7,2696.9,0.0002746010309520618,41.01800088322513,0.5846153846153505,BULL,15,SWEEP,10009,81648077,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T15:58:01.379491+00:00,v0.3.0,GBPUSD_SB,SELL,1.1,1.34601,1.34642,1.34519,0.0004112175312089479,98.53,4.52,True,494.52,640.2,0.00027414502080596524,41.01800088322513,0.06474820143894316,BULL,15,ENGULFING,10009,81649063,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T16:05:00.848422+00:00,v0.3.0,GBPUSD_SB,SELL,6.7,1.34647,1.34688,1.34564,0.00041349167653663,97.97,27.7,True,3013.13,3811.34,0.00027566111769108666,42.876834775924735,0.4558823529412149,BULL,16,SWEEP,10009,81650960,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T16:19:04.952820+00:00,v0.3.0,GBPUSD_SB,SELL,6.0,1.34671,1.34712,1.34589,0.00041139195629282877,97.85,24.68,True,2698.81,3381.87,0.0002742613041952192,42.876834775924735,0.2637362637362932,BULL,16,SWEEP,10009,81652804,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T16:55:02.392864+00:00,v0.3.0,GBPUSD_SB,BUY,0.6,1.34593,1.34566,1.34647,0.0002687635881515611,98.53,1.61,True,269.72,384.34,0.00017917572543437403,42.876834775924735,0.6097560975599453,BULL,16,SWEEP,10009,81657280,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T17:05:03.584605+00:00,v0.3.0,GBPUSD_SB,SELL,0.3,1.3462,1.34648,1.34563,0.00028437554597112135,97.69,0.85,True,134.89,203.18,0.0001895836973140809,44.7199960283784,0.3584905660377596,BULL,17,ENGULFING,10009,81658704,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T17:13:03.464759+00:00,v0.3.0,GBPUSD_SB,BUY,0.7,1.34633,1.34606,1.34687,0.000271604847888618,96.9,1.9,True,314.77,411.35,0.00018106989859241197,44.7199960283784,0.08860759493669462,BULL,17,SWEEP,10009,81659391,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T17:20:02.759677+00:00,v0.3.0,GBPUSD_SB,BUY,0.5,1.3461699999999999,1.3459,1.3467,0.0002655050128222497,96.79,1.33,True,224.81,284.88,0.0001770033418814998,44.7199960283784,0.18367346938782908,BULL,17,ENGULFING,10009,81660097,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T17:23:04.571691+00:00,v0.3.0,GBPUSD_SB,BUY,4.4,1.3462,1.34595,1.3467,0.0002508052162048103,96.9,11.04,True,1978.38,2513.17,0.00016720347746987353,44.7199960283784,0.17500000000015264,BULL,17,ENGULFING,10009,81660277,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T17:31:04.609937+00:00,v0.3.0,GBPUSD_SB,BUY,3.6,1.34599,1.34576,1.34645,0.00023174256211396058,96.75,8.34,True,1618.42,2064.62,0.00015449504140930704,44.7199960283784,0.3030303030303234,BULL,17,ENGULFING,10009,81661195,Request executed,v0.3.0|ENGULFING|BULL
2026-07-30T17:35:02.043209+00:00,v0.3.0,GBPUSD_SB,SELL,1.1,1.34569,1.34591,1.34524,0.00022375336621795308,96.64,2.46,True,494.41,671.91,0.0001491689108119687,44.7199960283784,0.5624999999998915,BULL,17,FAKEY,10009,81661482,Request executed,v0.3.0|FAKEY|BULL
2026-07-30T17:38:03.992374+00:00,v0.3.0,GBPUSD_SB,SELL,0.8,1.34622,1.34656,1.34554,0.00033756237095108996,96.38,2.7,True,359.71,494.98,0.00022504158063405997,44.7199960283784,0.30496453900701403,BULL,17,SWEEP,10009,81662101,Request executed,v0.3.0|SWEEP|BULL
2026-07-30T17:40:00.276306+00:00,v0.3.0,GBPUSD_SB,BUY,1.0,1.3467,1.34633,1.34743,0.00036544918709609085,96.16,3.65,True,449.8,572.09,0.0002436327913973939,44.7199960283784,0.4878048780487012,BULL,17,ENGULFING,10009,81662586,Request executed,v0.3.0|ENGULFING|BULL
