ts_close_utc,version,symbol,ticket,direction,lot,entry,close,sl_distance,risk_money,risk_reconstructed,profit_gross,commission,swap,net,r_multiple,reason,duration_min,ts_open_utc
2026-07-29T00:21:55+00:00,v0.3.0,XAUUSD_SB,81266185,BUY,15.0,4019.47,4029.31,4.920140208057962,73.8,False,147.6,0.0,0.0,147.6,2.0,TP,41.8,2026-07-28T23:40:06.254076+00:00
2026-07-29T22:45:38+00:00,v0.3.0,XAUUSD_SB,81484710,BUY,4.1,4077.09,4082.29,2.5992380004318636,10.66,False,21.32,0.0,0.0,21.32,2.0,TP,4.6,2026-07-29T22:41:03.691256+00:00
2026-07-30T16:04:06+00:00,v0.3.0,XAUUSD_SB,81648624,BUY,4.9,4107.79,4114.4,3.3028016203101203,16.18,False,32.39,0.0,0.0,32.39,2.0019,TP,9.0,2026-07-30T15:55:04.688591+00:00
2026-07-30T16:13:07+00:00,v0.3.0,XAUUSD_SB,81651236,SELL,1.3,4112.66,4115.94,3.277811936139598,4.26,False,-4.26,0.0,0.0,-4.26,-1.0,SL,7.1,2026-07-30T16:06:01.754024+00:00
2026-07-30T16:43:46+00:00,v0.3.0,XAUUSD_SB,81654264,SELL,3.1,4115.4,4109.49,2.956816809313196,9.17,False,18.32,0.0,0.0,18.32,1.9978,TP,12.7,2026-07-30T16:31:02.490280+00:00
2026-07-30T17:14:27+00:00,v0.3.0,XAUUSD_SB,81656201,BUY,1.7,4108.15,4105.68,2.4654264738037632,4.19,False,-4.2,0.0,0.0,-4.2,-1.0024,SL,26.4,2026-07-30T16:48:03.202648+00:00
2026-07-30T17:29:05+00:00,v0.3.0,XAUUSD_SB,81660488,SELL,1.7,4106.48,4102.2,2.142125693372715,3.64,False,7.28,0.0,0.0,7.28,2.0,TP,3.1,2026-07-30T17:26:01.587988+00:00
2026-07-30T17:37:55+00:00,v0.3.0,XAUUSD_SB,81661852,BUY,1.9,4107.65,4104.62,3.0261200365116805,5.75,False,-5.76,0.0,0.0,-5.76,-1.0017,SL,0.9,2026-07-30T17:37:03.498682+00:00
2026-07-30T17:45:21+00:00,v0.3.0,XAUUSD_SB,81663346,SELL,1.7,4103.23,4106.84,3.610180017572131,6.14,False,-6.14,0.0,0.0,-6.14,-1.0,SL,2.3,2026-07-30T17:43:02.444297+00:00
2026-07-30T18:25:02+00:00,v0.3.0,XAUUSD_SB,81666386,SELL,1.5,4106.13,4101.97,2.079646597362512,3.12,False,6.24,0.0,0.0,6.24,2.0,TP,11.0,2026-07-30T18:14:01.715500+00:00
2026-07-30T18:49:06+00:00,v0.3.0,XAUUSD_SB,81668630,SELL,1.4,4105.11,4101.07,2.017656529316889,2.82,False,5.66,0.0,0.0,5.66,2.0071,TP,13.1,2026-07-30T18:36:00.272555+00:00
2026-07-30T18:52:13+00:00,v0.3.0,XAUUSD_SB,81669541,BUY,3.5,4101.55,4099.77,1.7839028146438052,6.24,False,-6.23,0.0,0.0,-6.23,-0.9984,SL,1.1,2026-07-30T18:51:04.470902+00:00
